lat,lon,ts,country,city
38.92382811,-77.22487266,2015-11-27 18:16:37,United States,McLean
19.3,-81.1167,2015-11-27 18:00:32,Cayman Islands,East End
40.7394434,-74.3651626,2015-11-27 18:00:28,United States,Essex County
-24.9162,133.3931,2015-11-27 18:00:37,Australia,Ghan
24.2878,55.1159,2015-11-27 18:00:33,United Arab Emirates,Eastern Region
-43.5877,170.3666,2015-11-27 18:00:41,New Zealand,Mount Cook National Park
3.9451,114.4017,2015-11-27 18:00:41,Malaysia,Long Lama
37.26856557,-121.94601199,2015-11-27 18:00:41,United States,Campbell
44.97722222,-93.27638889,2015-11-27 18:00:41,United States,Minneapolis
-0.0244,37.9039,2015-11-27 18:00:22,Kenya,Tharaka Nithi
37.92416667,-122.38916667,2015-11-27 18:00:12,United States,Richmond
41.1865,-74.0554,2015-11-27 18:09:02,United States,Pomona
47.668118,-122.36816,2015-11-27 18:09:13,United States,Seattle
37.0708,-76.4844,2015-11-27 18:09:27,United States,Newport News
37.78458412,-122.39998651,2015-11-27 18:09:33,United States,San Francisco
25.33642977,51.4610659,2015-11-27 18:09:34,Qatar,Doha
37.3041,-121.873,2015-11-27 18:09:36,United States,San Jose
47.9229,-122.691,2015-11-27 18:09:37,United States,Port Ludlow
39.9598529,-82.99897129,2015-11-27 18:09:40,United States,Columbus
34.047756,-84.29635204,2015-11-27 18:08:38,United States,Alpharetta
51.5151405,-0.12874,2015-11-27 18:08:40,United Kingdom,London
